Date & time of file creation	14/06/2018 1:14 PM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\14_06_2018\29_C_old_witrox_11.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.47	26.71	0.00	100.00	32.42	32.40	0.000						
S WOT 0041 000001   , CH 2	1	59.47	26.71	0.00	100.00	32.42	32.40	0.000						
S WOT 0041 000001   , CH 3	1	59.47	26.71	0.00	100.00	32.42	32.40	0.000						
S WOT 0041 000001   , CH 4	1	59.47	26.71	0.00	100.00	32.42	32.40	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
14/06/2018 1:15:55 PM	3611790955	1013.00	26.73	29.19	105.4	26.74	29.19	105.3	26.64	29.19	106.3	NaN	29.19	NaN
14/06/2018 1:15:56 PM	3611790956	1013.00	26.70	29.19	105.7	26.68	29.19	105.9	26.63	29.19	106.4	NaN	29.19	NaN
14/06/2018 1:15:57 PM	3611790957	1013.00	26.71	29.19	105.6	26.73	29.19	105.4	26.65	29.19	106.2	NaN	29.19	NaN
14/06/2018 1:15:58 PM	3611790958	1013.00	26.72	29.19	105.5	26.70	29.19	105.7	26.65	29.19	106.2	NaN	29.19	NaN
14/06/2018 1:15:59 PM	3611790959	1013.00	26.71	29.20	105.6	26.72	29.20	105.5	26.66	29.20	106.1	NaN	29.20	NaN
14/06/2018 1:16:00 PM	3611790960	1013.00	26.72	29.20	105.5	26.69	29.20	105.8	26.63	29.20	106.4	NaN	29.20	NaN
14/06/2018 1:16:01 PM	3611790961	1013.00	26.74	29.20	105.3	26.73	29.20	105.4	26.68	29.20	105.9	NaN	29.20	NaN
14/06/2018 1:16:02 PM	3611790962	1013.00	26.73	29.20	105.4	26.72	29.20	105.5	26.61	29.20	106.6	NaN	29.20	NaN
14/06/2018 1:16:03 PM	3611790963	1013.00	26.73	29.20	105.4	26.71	29.20	105.6	26.62	29.20	106.5	NaN	29.20	NaN
14/06/2018 1:16:04 PM	3611790964	1013.00	26.73	29.20	105.4	26.71	29.20	105.6	26.63	29.20	106.4	NaN	29.20	NaN
14/06/2018 1:16:05 PM	3611790965	1013.00	26.72	29.19	105.5	26.70	29.19	105.7	26.68	29.19	105.9	NaN	29.19	NaN
14/06/2018 1:16:06 PM	3611790966	1013.00	26.73	29.19	105.4	26.70	29.19	105.7	26.61	29.19	106.7	NaN	29.19	NaN
14/06/2018 1:16:07 PM	3611790967	1013.00	26.73	29.20	105.4	26.73	29.20	105.4	26.63	29.20	106.4	NaN	29.20	NaN
14/06/2018 1:16:08 PM	3611790968	1013.00	26.73	29.20	105.4	26.70	29.20	105.7	26.67	29.20	106.0	NaN	29.20	NaN
14/06/2018 1:16:09 PM	3611790969	1013.00	26.72	29.20	105.5	26.74	29.20	105.3	26.63	29.20	106.4	NaN	29.20	NaN
14/06/2018 1:16:10 PM	3611790970	1013.00	26.71	29.20	105.6	26.69	29.20	105.8	26.66	29.20	106.1	NaN	29.20	NaN
14/06/2018 1:16:11 PM	3611790971	1013.00	26.73	29.20	105.4	26.75	29.20	105.2	26.67	29.20	106.0	NaN	29.20	NaN
14/06/2018 1:16:12 PM	3611790972	1013.00	26.72	29.20	105.5	26.77	29.20	105.0	26.68	29.20	105.9	NaN	29.20	NaN
