Date & time of file creation	30/05/2018 10:50 AM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\30_05_2018\26_C_new_witrox_4.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.58	27.13	0.00	100.00	25.92	25.90	0.000						
SDWD0003000199      , CH 2	1	59.58	27.13	0.00	100.00	25.92	25.90	0.000						
SDWD0003000199      , CH 3	1	59.58	27.13	0.00	100.00	25.92	25.90	0.000						
SDWD0003000199      , CH 4	1	59.58	27.13	0.00	100.00	25.92	25.90	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
30/05/2018 10:51:17 AM	3610486277	1013.00	27.42	25.72	97.6	27.70	25.72	95.1	27.44	25.72	97.4	27.21	25.72	99.6
30/05/2018 10:51:18 AM	3610486278	1013.00	27.42	25.72	97.6	27.71	25.72	95.0	27.41	25.72	97.7	27.25	25.72	99.2
30/05/2018 10:51:19 AM	3610486279	1013.00	27.42	25.72	97.6	27.71	25.72	95.0	27.44	25.72	97.4	27.21	25.72	99.6
30/05/2018 10:51:20 AM	3610486280	1013.00	27.44	25.72	97.4	27.69	25.72	95.2	27.43	25.72	97.5	27.24	25.72	99.3
30/05/2018 10:51:21 AM	3610486281	1013.00	27.41	25.72	97.7	27.72	25.72	94.9	27.44	25.72	97.4	27.23	25.72	99.4
30/05/2018 10:51:22 AM	3610486282	1013.00	27.45	25.71	97.3	27.74	25.71	94.7	27.42	25.71	97.6	27.25	25.71	99.2
30/05/2018 10:51:23 AM	3610486283	1013.00	27.43	25.72	97.5	27.69	25.72	95.2	27.41	25.72	97.7	27.23	25.72	99.4
30/05/2018 10:51:24 AM	3610486284	1013.00	27.44	25.72	97.4	27.67	25.72	95.3	27.39	25.72	97.9	27.22	25.72	99.5
