Date & time of file creation	12/07/2018 12:55 PM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\2018_07_12\29_C_old_witrox_23.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.42	26.64	0.00	100.00	32.07	32.05	0.000						
S WOT 0041 000001   , CH 2	1	59.42	26.64	0.00	100.00	32.07	32.05	0.000						
S WOT 0041 000001   , CH 3	1	59.42	26.64	0.00	100.00	32.07	32.05	0.000						
S WOT 0041 000001   , CH 4	1	59.42	26.64	0.00	100.00	32.07	32.05	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
12/07/2018 12:59:41 PM	3614209181	1013.00	26.74	29.25	103.9	26.84	29.25	102.9	26.60	29.25	105.3	NaN	29.25	NaN
12/07/2018 12:59:42 PM	3614209182	1013.00	26.75	29.25	103.8	26.79	29.25	103.4	26.59	29.25	105.4	NaN	29.25	NaN
12/07/2018 12:59:43 PM	3614209183	1013.00	26.75	29.25	103.8	26.76	29.25	103.7	26.64	29.25	104.9	NaN	29.25	NaN
12/07/2018 12:59:44 PM	3614209184	1013.00	26.79	29.24	103.4	26.81	29.24	103.2	26.63	29.24	105.0	NaN	29.24	NaN
12/07/2018 12:59:45 PM	3614209185	1013.00	26.76	29.24	103.7	26.82	29.24	103.1	26.62	29.24	105.1	NaN	29.24	NaN
12/07/2018 12:59:46 PM	3614209186	1013.00	26.76	29.23	103.7	26.78	29.23	103.5	26.61	29.23	105.2	NaN	29.23	NaN
12/07/2018 12:59:47 PM	3614209187	1013.00	26.75	29.24	103.8	26.78	29.24	103.5	26.66	29.24	104.7	NaN	29.24	NaN
12/07/2018 12:59:48 PM	3614209188	1013.00	26.77	29.24	103.6	26.80	29.24	103.3	26.57	29.24	105.6	NaN	29.24	NaN
12/07/2018 12:59:49 PM	3614209189	1013.00	26.77	29.25	103.6	26.83	29.25	103.0	26.65	29.25	104.8	NaN	29.25	NaN
12/07/2018 12:59:50 PM	3614209190	1013.00	26.74	29.25	103.9	26.81	29.25	103.2	26.62	29.25	105.1	NaN	29.25	NaN
12/07/2018 12:59:51 PM	3614209191	1013.00	26.75	29.25	103.8	26.76	29.25	103.7	26.60	29.25	105.3	NaN	29.25	NaN
12/07/2018 12:59:52 PM	3614209192	1013.00	26.76	29.24	103.7	26.84	29.24	102.9	26.62	29.24	105.1	NaN	29.24	NaN
12/07/2018 12:59:53 PM	3614209193	1013.00	26.75	29.24	103.8	26.78	29.24	103.5	26.65	29.24	104.8	NaN	29.24	NaN
12/07/2018 12:59:54 PM	3614209194	1013.00	26.75	29.23	103.8	26.81	29.23	103.2	26.65	29.23	104.8	NaN	29.23	NaN
12/07/2018 12:59:55 PM	3614209195	1013.00	26.76	29.23	103.7	26.78	29.23	103.5	26.62	29.23	105.1	NaN	29.23	NaN
12/07/2018 12:59:56 PM	3614209196	1013.00	26.76	29.24	103.7	26.80	29.24	103.3	26.62	29.24	105.1	NaN	29.24	NaN
12/07/2018 12:59:57 PM	3614209197	1013.00	26.73	29.24	104.0	26.78	29.24	103.5	26.67	29.24	104.6	NaN	29.24	NaN
12/07/2018 12:59:58 PM	3614209198	1013.00	26.73	29.24	104.0	26.82	29.24	103.1	26.65	29.24	104.8	NaN	29.24	NaN
12/07/2018 12:59:59 PM	3614209199	1013.00	26.75	29.24	103.8	26.82	29.24	103.1	26.64	29.24	104.9	NaN	29.24	NaN
12/07/2018 1:00:00 PM	3614209200	1013.00	26.77	29.24	103.6	26.81	29.24	103.2	26.63	29.24	105.0	NaN	29.24	NaN
