Date & time of file creation	21/06/2018 10:37													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\21_06_2018\32_C_old_witrox_14.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [¡C]	HI temperature [¡C]	Salinity [ä]						
"S WOT 0041 000001   , CH 1"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 2"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 3"	1	59.37	26.72	0	100	32.1	31.95	0						
"S WOT 0041 000001   , CH 4"	1	59.37	26.72	0	100	32.1	31.95	0						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	"S WOT 0041 000001   , CH 1 phase [r.U.]"	"S WOT 0041 000001   , CH 1 temp [¡C]"	"S WOT 0041 000001   , CH 1 O2 [% air saturation]"	"S WOT 0041 000001   , CH 2 phase [r.U.]"	"S WOT 0041 000001   , CH 2 temp [¡C]"	"S WOT 0041 000001   , CH 2 O2 [% air saturation]"	"S WOT 0041 000001   , CH 3 phase [r.U.]"	"S WOT 0041 000001   , CH 3 temp [¡C]"	"S WOT 0041 000001   , CH 3 O2 [% air saturation]"	"S WOT 0041 000001   , CH 4 phase [r.U.]"	"S WOT 0041 000001   , CH 4 temp [¡C]"	"S WOT 0041 000001   , CH 4 O2 [% air saturation]"
21/06/2018 10:43	3612386603	1013	27.52	32.08	92.5	NaN	32.08	NaN	26.81	32.08	98.9	26.23	32.08	104.6
21/06/2018 10:43	3612386604	1013	27.51	32.09	92.6	NaN	32.09	NaN	26.88	32.09	98.2	26.22	32.09	104.7
21/06/2018 10:43	3612386605	1013	27.51	32.09	92.6	NaN	32.09	NaN	26.86	32.09	98.4	26.21	32.09	104.8
21/06/2018 10:43	3612386606	1013	27.5	32.09	92.6	NaN	32.09	NaN	26.87	32.09	98.3	26.23	32.09	104.6
21/06/2018 10:43	3612386607	1013	27.54	32.1	92.3	NaN	32.1	NaN	26.88	32.1	98.2	26.21	32.1	104.8
21/06/2018 10:43	3612386608	1013	27.53	32.09	92.4	NaN	32.09	NaN	26.85	32.09	98.5	26.2	32.09	104.9
21/06/2018 10:43	3612386609	1013	27.55	32.08	92.2	NaN	32.08	NaN	26.9	32.08	98.1	26.2	32.08	104.9
21/06/2018 10:43	3612386610	1013	27.56	32.08	92.1	NaN	32.08	NaN	26.92	32.08	97.9	26.19	32.08	105
21/06/2018 10:43	3612386611	1013	27.55	32.07	92.2	NaN	32.07	NaN	26.88	32.07	98.3	26.24	32.07	104.5
21/06/2018 10:43	3612386612	1013	27.55	32.08	92.2	NaN	32.08	NaN	26.9	32.08	98.1	26.19	32.08	105
21/06/2018 10:43	3612386613	1013	27.58	32.08	92	NaN	32.08	NaN	26.9	32.08	98.1	26.23	32.08	104.6
21/06/2018 10:43	3612386614	1013	27.57	32.08	92.1	NaN	32.08	NaN	26.84	32.08	98.6	26.18	32.08	105.1
21/06/2018 10:43	3612386615	1013	27.57	32.08	92.1	NaN	32.08	NaN	26.92	32.08	97.9	26.17	32.08	105.2
21/06/2018 10:43	3612386616	1013	27.6	32.08	91.8	NaN	32.08	NaN	26.91	32.08	98	26.22	32.08	104.7
21/06/2018 10:43	3612386617	1013	27.56	32.08	92.1	NaN	32.08	NaN	26.89	32.08	98.2	26.21	32.08	104.8
21/06/2018 10:43	3612386618	1013	27.56	32.08	92.1	NaN	32.08	NaN	26.9	32.08	98.1	26.22	32.08	104.7
21/06/2018 10:43	3612386619	1013	27.56	32.08	92.1	NaN	32.08	NaN	26.95	32.08	97.6	26.2	32.08	104.9
21/06/2018 10:43	3612386620	1013	27.59	32.08	91.9	NaN	32.08	NaN	26.9	32.08	98.1	26.22	32.08	104.7
21/06/2018 10:43	3612386621	1013	27.62	32.08	91.6	NaN	32.08	NaN	26.94	32.08	97.7	26.22	32.08	104.7
21/06/2018 10:43	3612386622	1013	27.58	32.09	92	NaN	32.09	NaN	26.93	32.09	97.8	26.19	32.09	105
21/06/2018 10:43	3612386623	1013	27.58	32.09	92	NaN	32.09	NaN	26.97	32.09	97.4	26.21	32.09	104.8
21/06/2018 10:43	3612386624	1013	27.59	32.08	91.9	NaN	32.08	NaN	26.92	32.08	97.9	26.22	32.08	104.7
21/06/2018 10:43	3612386625	1013	27.61	32.09	91.7	NaN	32.09	NaN	26.92	32.09	97.9	26.22	32.09	104.7
21/06/2018 10:43	3612386626	1013	27.61	32.09	91.7	NaN	32.09	NaN	26.92	32.09	97.9	26.22	32.09	104.7
21/06/2018 10:43	3612386627	1013	27.62	32.09	91.6	NaN	32.09	NaN	26.93	32.09	97.8	26.19	32.09	105
21/06/2018 10:43	3612386628	1013	27.62	32.09	91.6	NaN	32.09	NaN	26.94	32.09	97.7	26.2	32.09	104.9
21/06/2018 10:43	3612386629	1013	27.62	32.1	91.6	NaN	32.1	NaN	26.93	32.1	97.8	26.23	32.1	104.6
21/06/2018 10:43	3612386630	1013	27.63	32.09	91.5	NaN	32.09	NaN	26.99	32.09	97.2	26.19	32.09	105
21/06/2018 10:43	3612386631	1013	27.64	32.09	91.4	NaN	32.09	NaN	26.94	32.09	97.7	26.26	32.09	104.3
21/06/2018 10:43	3612386632	1013	27.61	32.1	91.7	NaN	32.1	NaN	26.92	32.1	97.9	26.23	32.1	104.6
21/06/2018 10:43	3612386633	1013	27.66	32.1	91.3	NaN	32.1	NaN	26.97	32.1	97.4	26.22	32.1	104.7
21/06/2018 10:43	3612386634	1013	27.66	32.11	91.2	NaN	32.11	NaN	26.95	32.11	97.6	26.21	32.11	104.7
21/06/2018 10:43	3612386635	1013	27.64	32.11	91.4	NaN	32.11	NaN	26.97	32.11	97.4	26.22	32.11	104.6
21/06/2018 10:43	3612386636	1013	27.65	32.1	91.3	NaN	32.1	NaN	26.93	32.1	97.8	26.21	32.1	104.8
21/06/2018 10:43	3612386637	1013	27.65	32.1	91.3	NaN	32.1	NaN	26.99	32.1	97.2	26.21	32.1	104.8
21/06/2018 10:43	3612386638	1013	27.68	32.09	91.1	NaN	32.09	NaN	26.96	32.09	97.5	26.22	32.09	104.7
21/06/2018 10:43	3612386639	1013	27.66	32.08	91.3	NaN	32.08	NaN	27.01	32.08	97.1	26.23	32.08	104.6
21/06/2018 10:44	3612386640	1013	27.68	32.08	91.1	NaN	32.08	NaN	26.96	32.08	97.5	26.23	32.08	104.6
21/06/2018 10:44	3612386641	1013	27.69	32.08	91	NaN	32.08	NaN	26.98	32.08	97.3	26.22	32.08	104.7
21/06/2018 10:44	3612386642	1013	27.69	32.08	91	NaN	32.08	NaN	27	32.08	97.1	26.23	32.08	104.6
21/06/2018 10:44	3612386643	1013	27.66	32.08	91.3	NaN	32.08	NaN	27.01	32.08	97.1	26.19	32.08	105
21/06/2018 10:44	3612386644	1013	27.72	32.08	90.8	NaN	32.08	NaN	26.99	32.08	97.2	26.2	32.08	104.9
21/06/2018 10:44	3612386645	1013	27.72	32.08	90.8	NaN	32.08	NaN	26.99	32.08	97.2	26.19	32.08	105
21/06/2018 10:44	3612386646	1013	27.73	32.08	90.7	NaN	32.08	NaN	26.99	32.08	97.2	26.19	32.08	105
21/06/2018 10:44	3612386647	1013	27.71	32.08	90.9	NaN	32.08	NaN	27	32.08	97.1	26.21	32.08	104.8
21/06/2018 10:44	3612386648	1013	27.74	32.08	90.6	NaN	32.08	NaN	27.01	32.08	97.1	26.21	32.08	104.8
21/06/2018 10:44	3612386649	1013	27.68	32.08	91.1	NaN	32.08	NaN	27.02	32.08	97	26.23	32.08	104.6
21/06/2018 10:44	3612386650	1013	27.71	32.08	90.9	NaN	32.08	NaN	27.01	32.08	97.1	26.21	32.08	104.8
21/06/2018 10:44	3612386651	1013	27.74	32.09	90.6	NaN	32.09	NaN	27.05	32.09	96.7	26.2	32.09	104.9
21/06/2018 10:44	3612386652	1013	27.72	32.08	90.8	NaN	32.08	NaN	27.02	32.08	97	26.2	32.08	104.9
21/06/2018 10:44	3612386653	1013	27.75	32.09	90.5	NaN	32.09	NaN	27.02	32.09	96.9	26.22	32.09	104.7
21/06/2018 10:44	3612386654	1013	27.7	32.09	90.9	NaN	32.09	NaN	27.04	32.09	96.8	26.2	32.09	104.9
21/06/2018 10:44	3612386655	1013	27.74	32.1	90.6	NaN	32.1	NaN	27.02	32.1	96.9	26.21	32.1	104.8
21/06/2018 10:44	3612386656	1013	27.73	32.09	90.7	NaN	32.09	NaN	27.08	32.09	96.4	26.21	32.09	104.8
21/06/2018 10:44	3612386657	1013	27.74	32.08	90.6	NaN	32.08	NaN	27.03	32.08	96.9	26.21	32.08	104.8
21/06/2018 10:44	3612386658	1013	27.77	32.09	90.3	NaN	32.09	NaN	27.01	32.09	97	26.2	32.09	104.9
21/06/2018 10:44	3612386659	1013	27.78	32.07	90.3	NaN	32.07	NaN	27.04	32.07	96.8	26.23	32.07	104.6
21/06/2018 10:44	3612386660	1013	27.78	32.07	90.3	NaN	32.07	NaN	27.04	32.07	96.8	26.23	32.07	104.6
21/06/2018 10:44	3612386661	1013	27.78	32.07	90.3	NaN	32.07	NaN	27.04	32.07	96.8	26.22	32.07	104.7
21/06/2018 10:44	3612386662	1013	27.78	32.08	90.3	NaN	32.08	NaN	27.07	32.08	96.5	26.21	32.08	104.8
21/06/2018 10:44	3612386663	1013	27.79	32.07	90.2	NaN	32.07	NaN	27.08	32.07	96.4	26.22	32.07	104.7
21/06/2018 10:44	3612386664	1013	27.81	32.08	90	NaN	32.08	NaN	27.06	32.08	96.6	26.2	32.08	104.9
21/06/2018 10:44	3612386665	1013	27.8	32.09	90.1	NaN	32.09	NaN	27.04	32.09	96.8	26.22	32.09	104.7
21/06/2018 10:44	3612386666	1013	27.8	32.08	90.1	NaN	32.08	NaN	27.04	32.08	96.8	26.2	32.08	104.9
21/06/2018 10:44	3612386667	1013	27.8	32.08	90.1	NaN	32.08	NaN	27.06	32.08	96.6	26.23	32.08	104.6
21/06/2018 10:44	3612386668	1013	27.78	32.09	90.2	NaN	32.09	NaN	27.03	32.09	96.9	26.23	32.09	104.6
21/06/2018 10:44	3612386669	1013	27.8	32.08	90.1	NaN	32.08	NaN	27.06	32.08	96.6	26.2	32.08	104.9
21/06/2018 10:44	3612386670	1013	27.79	32.08	90.2	NaN	32.08	NaN	27	32.08	97.1	26.2	32.08	104.9
21/06/2018 10:44	3612386671	1013	27.8	32.08	90.1	NaN	32.08	NaN	27.06	32.08	96.6	26.24	32.08	104.5
21/06/2018 10:44	3612386672	1013	27.83	32.08	89.8	NaN	32.08	NaN	27.08	32.08	96.4	26.23	32.08	104.6
21/06/2018 10:44	3612386673	1013	27.82	32.08	89.9	NaN	32.08	NaN	27.07	32.08	96.5	26.22	32.08	104.7
21/06/2018 10:44	3612386674	1013	27.82	32.09	89.9	NaN	32.09	NaN	27.1	32.09	96.2	26.18	32.09	105.1
21/06/2018 10:44	3612386675	1013	27.83	32.08	89.8	NaN	32.08	NaN	27.06	32.08	96.6	26.23	32.08	104.6
21/06/2018 10:44	3612386676	1013	27.79	32.08	90.2	NaN	32.08	NaN	27.07	32.08	96.5	26.23	32.08	104.6
21/06/2018 10:44	3612386677	1013	27.85	32.07	89.7	NaN	32.07	NaN	27.07	32.07	96.5	26.2	32.07	104.9
21/06/2018 10:44	3612386678	1013	27.85	32.08	89.7	NaN	32.08	NaN	27.11	32.08	96.1	26.2	32.08	104.9
21/06/2018 10:44	3612386679	1013	27.84	32.07	89.8	NaN	32.07	NaN	27.16	32.07	95.7	26.24	32.07	104.5
21/06/2018 10:44	3612386680	1013	27.86	32.08	89.6	NaN	32.08	NaN	27.1	32.08	96.2	26.21	32.08	104.8
21/06/2018 10:44	3612386681	1013	27.88	32.08	89.4	NaN	32.08	NaN	27.07	32.08	96.5	26.23	32.08	104.6
21/06/2018 10:44	3612386682	1013	27.86	32.08	89.6	NaN	32.08	NaN	27.08	32.08	96.4	26.21	32.08	104.8
21/06/2018 10:44	3612386683	1013	27.84	32.07	89.8	NaN	32.07	NaN	27.14	32.07	95.9	26.22	32.07	104.7
21/06/2018 10:44	3612386684	1013	27.87	32.08	89.5	NaN	32.08	NaN	27.15	32.08	95.8	26.23	32.08	104.6
21/06/2018 10:44	3612386685	1013	27.88	32.06	89.5	NaN	32.06	NaN	27.08	32.06	96.4	26.21	32.06	104.8
21/06/2018 10:44	3612386686	1013	27.87	32.06	89.5	NaN	32.06	NaN	27.09	32.06	96.4	26.21	32.06	104.8
21/06/2018 10:44	3612386687	1013	27.87	32.07	89.5	NaN	32.07	NaN	27.11	32.07	96.2	26.22	32.07	104.7
21/06/2018 10:44	3612386688	1013	27.88	32.07	89.4	NaN	32.07	NaN	27.12	32.07	96.1	26.22	32.07	104.7
21/06/2018 10:44	3612386689	1013	27.88	32.07	89.4	NaN	32.07	NaN	27.19	32.07	95.4	26.23	32.07	104.6
21/06/2018 10:44	3612386690	1013	27.9	32.07	89.3	NaN	32.07	NaN	27.18	32.07	95.5	26.2	32.07	104.9
21/06/2018 10:44	3612386691	1013	27.89	32.07	89.4	NaN	32.07	NaN	27.11	32.07	96.2	26.19	32.07	105
21/06/2018 10:44	3612386692	1013	27.88	32.07	89.4	NaN	32.07	NaN	27.17	32.07	95.6	26.21	32.07	104.8
21/06/2018 10:44	3612386693	1013	27.88	32.07	89.4	NaN	32.07	NaN	27.07	32.07	96.5	26.2	32.07	104.9
21/06/2018 10:44	3612386694	1013	27.91	32.07	89.2	NaN	32.07	NaN	27.16	32.07	95.7	26.22	32.07	104.7
21/06/2018 10:44	3612386695	1013	27.9	32.07	89.3	NaN	32.07	NaN	27.21	32.07	95.2	26.22	32.07	104.7
21/06/2018 10:44	3612386696	1013	27.9	32.07	89.3	NaN	32.07	NaN	27.1	32.07	96.2	26.21	32.07	104.8
21/06/2018 10:44	3612386697	1013	27.91	32.07	89.2	NaN	32.07	NaN	27.09	32.07	96.3	26.25	32.07	104.4
21/06/2018 10:44	3612386698	1013	27.92	32.08	89.1	NaN	32.08	NaN	27.12	32.08	96	26.24	32.08	104.5
21/06/2018 10:44	3612386699	1013	27.92	32.08	89.1	NaN	32.08	NaN	27.16	32.08	95.7	26.21	32.08	104.8
21/06/2018 10:45	3612386700	1013	27.92	32.08	89.1	NaN	32.08	NaN	27.15	32.08	95.8	26.21	32.08	104.8
21/06/2018 10:45	3612386701	1013	27.93	32.08	89	NaN	32.08	NaN	27.15	32.08	95.8	26.24	32.08	104.5
21/06/2018 10:45	3612386702	1013	27.93	32.08	89	NaN	32.08	NaN	27.25	32.08	94.9	26.2	32.08	104.9
21/06/2018 10:45	3612386703	1013	27.95	32.08	88.8	NaN	32.08	NaN	27.16	32.08	95.7	26.2	32.08	104.9
21/06/2018 10:45	3612386704	1013	27.94	32.08	88.9	NaN	32.08	NaN	27.19	32.08	95.4	26.22	32.08	104.7
21/06/2018 10:45	3612386705	1013	27.95	32.07	88.9	NaN	32.07	NaN	27.13	32.07	96	26.23	32.07	104.6
21/06/2018 10:45	3612386706	1013	27.94	32.08	88.9	NaN	32.08	NaN	27.2	32.08	95.3	26.24	32.08	104.5
21/06/2018 10:45	3612386707	1013	27.92	32.08	89.1	NaN	32.08	NaN	27.18	32.08	95.5	26.22	32.08	104.7
21/06/2018 10:45	3612386708	1013	27.94	32.08	88.9	NaN	32.08	NaN	27.12	32.08	96	26.25	32.08	104.4
21/06/2018 10:45	3612386709	1013	27.93	32.09	89	NaN	32.09	NaN	27.18	32.09	95.5	26.2	32.09	104.9
21/06/2018 10:45	3612386710	1013	27.97	32.08	88.7	NaN	32.08	NaN	27.16	32.08	95.7	26.21	32.08	104.8
21/06/2018 10:45	3612386711	1013	27.98	32.08	88.6	NaN	32.08	NaN	27.2	32.08	95.3	26.22	32.08	104.7
21/06/2018 10:45	3612386712	1013	27.97	32.08	88.7	NaN	32.08	NaN	27.21	32.08	95.2	26.23	32.08	104.6
21/06/2018 10:45	3612386713	1013	27.98	32.07	88.6	NaN	32.07	NaN	27.24	32.07	95	26.2	32.07	104.9
21/06/2018 10:45	3612386714	1013	27.97	32.07	88.7	NaN	32.07	NaN	27.24	32.07	95	26.23	32.07	104.6
21/06/2018 10:45	3612386715	1013	27.96	32.08	88.8	NaN	32.08	NaN	27.27	32.08	94.7	26.21	32.08	104.8
21/06/2018 10:45	3612386716	1013	27.96	32.08	88.8	NaN	32.08	NaN	27.23	32.08	95.1	26.19	32.08	105
21/06/2018 10:45	3612386717	1013	27.97	32.09	88.7	NaN	32.09	NaN	27.24	32.09	94.9	26.21	32.09	104.8
21/06/2018 10:45	3612386718	1013	27.94	32.08	88.9	NaN	32.08	NaN	27.17	32.08	95.6	26.2	32.08	104.9
21/06/2018 10:45	3612386719	1013	27.96	32.08	88.8	NaN	32.08	NaN	27.21	32.08	95.2	26.25	32.08	104.4
21/06/2018 10:45	3612386720	1013	27.96	32.08	88.8	NaN	32.08	NaN	27.25	32.08	94.9	26.22	32.08	104.7
21/06/2018 10:45	3612386721	1013	27.97	32.07	88.7	NaN	32.07	NaN	27.25	32.07	94.9	26.19	32.07	105
21/06/2018 10:45	3612386722	1013	27.97	32.07	88.7	NaN	32.07	NaN	27.2	32.07	95.3	26.22	32.07	104.7
21/06/2018 10:45	3612386723	1013	27.97	32.07	88.7	NaN	32.07	NaN	27.26	32.07	94.8	26.22	32.07	104.7
21/06/2018 10:45	3612386724	1013	28.01	32.07	88.4	NaN	32.07	NaN	27.19	32.07	95.4	26.21	32.07	104.8
21/06/2018 10:45	3612386725	1013	27.98	32.07	88.6	NaN	32.07	NaN	27.25	32.07	94.9	26.21	32.07	104.8
21/06/2018 10:45	3612386726	1013	27.97	32.07	88.7	NaN	32.07	NaN	27.23	32.07	95.1	26.21	32.07	104.8
21/06/2018 10:45	3612386727	1013	28	32.08	88.4	NaN	32.08	NaN	27.23	32.08	95.1	26.24	32.08	104.5
21/06/2018 10:45	3612386728	1013	27.99	32.08	88.5	NaN	32.08	NaN	27.27	32.08	94.7	26.21	32.08	104.8
21/06/2018 10:45	3612386729	1013	27.99	32.08	88.5	NaN	32.08	NaN	27.26	32.08	94.8	26.21	32.08	104.8
21/06/2018 10:45	3612386730	1013	28.03	32.07	88.2	NaN	32.07	NaN	27.23	32.07	95.1	26.24	32.07	104.5
21/06/2018 10:45	3612386731	1013	28.03	32.08	88.2	NaN	32.08	NaN	27.27	32.08	94.7	26.23	32.08	104.6
21/06/2018 10:45	3612386732	1013	28.03	32.07	88.2	NaN	32.07	NaN	27.25	32.07	94.9	26.22	32.07	104.7
21/06/2018 10:45	3612386733	1013	28.01	32.07	88.4	NaN	32.07	NaN	27.27	32.07	94.7	26.23	32.07	104.6
21/06/2018 10:45	3612386734	1013	28.03	32.08	88.2	NaN	32.08	NaN	27.22	32.08	95.1	26.22	32.08	104.7
21/06/2018 10:45	3612386735	1013	28.04	32.08	88.1	NaN	32.08	NaN	27.24	32.08	95	26.25	32.08	104.4
21/06/2018 10:45	3612386736	1013	28.04	32.08	88.1	NaN	32.08	NaN	27.27	32.08	94.7	26.22	32.08	104.7
21/06/2018 10:45	3612386737	1013	28.04	32.07	88.1	NaN	32.07	NaN	27.28	32.07	94.6	26.24	32.07	104.5
21/06/2018 10:45	3612386738	1013	28.03	32.07	88.2	NaN	32.07	NaN	27.28	32.07	94.6	26.22	32.07	104.7
21/06/2018 10:45	3612386739	1013	28.04	32.07	88.1	NaN	32.07	NaN	27.26	32.07	94.8	26.22	32.07	104.7
21/06/2018 10:45	3612386740	1013	28.03	32.07	88.2	NaN	32.07	NaN	27.3	32.07	94.4	26.24	32.07	104.5
21/06/2018 10:45	3612386741	1013	28.04	32.08	88.1	NaN	32.08	NaN	27.29	32.08	94.5	26.24	32.08	104.5
21/06/2018 10:45	3612386742	1013	28.03	32.08	88.2	NaN	32.08	NaN	27.3	32.08	94.4	26.21	32.08	104.8
21/06/2018 10:45	3612386743	1013	28.04	32.08	88.1	NaN	32.08	NaN	27.29	32.08	94.5	26.21	32.08	104.8
21/06/2018 10:45	3612386744	1013	28.06	32.08	87.9	NaN	32.08	NaN	27.32	32.08	94.2	26.22	32.08	104.7
21/06/2018 10:45	3612386745	1013	28.08	32.09	87.8	NaN	32.09	NaN	27.29	32.09	94.5	26.21	32.09	104.8
21/06/2018 10:45	3612386746	1013	28.08	32.09	87.8	NaN	32.09	NaN	27.32	32.09	94.2	26.21	32.09	104.8
21/06/2018 10:45	3612386747	1013	28.02	32.1	88.2	NaN	32.1	NaN	27.31	32.1	94.3	26.22	32.1	104.7
21/06/2018 10:45	3612386748	1013	28.08	32.09	87.8	NaN	32.09	NaN	27.29	32.09	94.5	26.25	32.09	104.4
21/06/2018 10:45	3612386749	1013	28.06	32.1	87.9	NaN	32.1	NaN	27.33	32.1	94.1	26.24	32.1	104.5
21/06/2018 10:45	3612386750	1013	28.07	32.09	87.8	NaN	32.09	NaN	27.34	32.09	94.1	26.25	32.09	104.4
21/06/2018 10:45	3612386751	1013	28.09	32.09	87.7	NaN	32.09	NaN	27.3	32.09	94.4	26.23	32.09	104.6
21/06/2018 10:45	3612386752	1013	28.05	32.08	88	NaN	32.08	NaN	27.33	32.08	94.2	26.24	32.08	104.5
21/06/2018 10:45	3612386753	1013	28.09	32.09	87.7	NaN	32.09	NaN	27.35	32.09	94	26.19	32.09	105
21/06/2018 10:45	3612386754	1013	28.06	32.08	87.9	NaN	32.08	NaN	27.33	32.08	94.2	26.22	32.08	104.7
21/06/2018 10:45	3612386755	1013	28.08	32.08	87.8	NaN	32.08	NaN	27.29	32.08	94.5	26.22	32.08	104.7
21/06/2018 10:45	3612386756	1013	28.06	32.09	87.9	NaN	32.09	NaN	27.31	32.09	94.3	26.24	32.09	104.5
21/06/2018 10:45	3612386757	1013	28.06	32.09	87.9	NaN	32.09	NaN	27.28	32.09	94.6	26.23	32.09	104.6
21/06/2018 10:45	3612386758	1013	28.07	32.09	87.8	NaN	32.09	NaN	27.34	32.09	94.1	26.25	32.09	104.4
21/06/2018 10:45	3612386759	1013	28.05	32.09	88	NaN	32.09	NaN	27.33	32.09	94.1	26.25	32.09	104.4
21/06/2018 10:46	3612386760	1013	28.08	32.09	87.8	NaN	32.09	NaN	27.31	32.09	94.3	26.24	32.09	104.5
21/06/2018 10:46	3612386761	1013	28.05	32.09	88	NaN	32.09	NaN	27.31	32.09	94.3	26.23	32.09	104.6
21/06/2018 10:46	3612386762	1013	28.09	32.08	87.7	NaN	32.08	NaN	27.34	32.08	94.1	26.26	32.08	104.3
21/06/2018 10:46	3612386763	1013	28.08	32.08	87.8	NaN	32.08	NaN	27.38	32.08	93.7	26.24	32.08	104.5
21/06/2018 10:46	3612386764	1013	28.06	32.08	87.9	NaN	32.08	NaN	27.35	32.08	94	26.23	32.08	104.6
21/06/2018 10:46	3612386765	1013	28.1	32.07	87.6	NaN	32.07	NaN	27.31	32.07	94.4	26.19	32.07	105
21/06/2018 10:46	3612386766	1013	28.07	32.08	87.9	NaN	32.08	NaN	27.35	32.08	94	26.21	32.08	104.8
21/06/2018 10:46	3612386767	1013	28.1	32.08	87.6	NaN	32.08	NaN	27.4	32.08	93.5	26.25	32.08	104.4
21/06/2018 10:46	3612386768	1013	28.1	32.07	87.6	NaN	32.07	NaN	27.38	32.07	93.7	26.23	32.07	104.6
21/06/2018 10:46	3612386769	1013	28.11	32.08	87.5	NaN	32.08	NaN	27.37	32.08	93.8	26.19	32.08	105
21/06/2018 10:46	3612386770	1013	28.11	32.09	87.5	NaN	32.09	NaN	27.32	32.09	94.2	26.24	32.09	104.5
21/06/2018 10:46	3612386771	1013	28.12	32.08	87.4	NaN	32.08	NaN	27.32	32.08	94.2	26.21	32.08	104.8
21/06/2018 10:46	3612386772	1013	28.12	32.09	87.4	NaN	32.09	NaN	27.35	32.09	94	26.24	32.09	104.5
21/06/2018 10:46	3612386773	1013	28.1	32.09	87.6	NaN	32.09	NaN	27.39	32.09	93.6	26.24	32.09	104.5
21/06/2018 10:46	3612386774	1013	28.13	32.08	87.4	NaN	32.08	NaN	27.37	32.08	93.8	26.24	32.08	104.5
21/06/2018 10:46	3612386775	1013	28.12	32.08	87.4	NaN	32.08	NaN	27.37	32.08	93.8	26.26	32.08	104.3
21/06/2018 10:46	3612386776	1013	28.14	32.08	87.3	NaN	32.08	NaN	27.4	32.08	93.5	26.25	32.08	104.4
21/06/2018 10:46	3612386777	1013	28.15	32.07	87.2	NaN	32.07	NaN	27.34	32.07	94.1	26.21	32.07	104.8
21/06/2018 10:46	3612386778	1013	28.16	32.07	87.1	NaN	32.07	NaN	27.38	32.07	93.7	26.26	32.07	104.3
21/06/2018 10:46	3612386779	1013	28.13	32.08	87.4	NaN	32.08	NaN	27.4	32.08	93.5	26.23	32.08	104.6
21/06/2018 10:46	3612386780	1013	28.15	32.09	87.2	NaN	32.09	NaN	27.36	32.09	93.9	26.22	32.09	104.7
21/06/2018 10:46	3612386781	1013	28.18	32.08	87	NaN	32.08	NaN	27.38	32.08	93.7	26.21	32.08	104.8
21/06/2018 10:46	3612386782	1013	28.18	32.09	86.9	NaN	32.09	NaN	27.35	32.09	94	26.24	32.09	104.5
21/06/2018 10:46	3612386783	1013	28.17	32.09	87	NaN	32.09	NaN	27.32	32.09	94.2	26.26	32.09	104.3
21/06/2018 10:46	3612386784	1013	28.21	32.07	86.7	NaN	32.07	NaN	27.38	32.07	93.7	26.24	32.07	104.5
21/06/2018 10:46	3612386785	1013	28.19	32.07	86.9	NaN	32.07	NaN	27.35	32.07	94	26.24	32.07	104.5
21/06/2018 10:46	3612386786	1013	28.19	32.07	86.9	NaN	32.07	NaN	27.37	32.07	93.8	26.23	32.07	104.6
21/06/2018 10:46	3612386787	1013	28.17	32.06	87.1	NaN	32.06	NaN	27.36	32.06	93.9	26.25	32.06	104.4
21/06/2018 10:46	3612386788	1013	28.21	32.06	86.8	NaN	32.06	NaN	27.4	32.06	93.6	26.23	32.06	104.6
21/06/2018 10:46	3612386789	1013	28.2	32.07	86.8	NaN	32.07	NaN	27.42	32.07	93.4	26.23	32.07	104.6
21/06/2018 10:46	3612386790	1013	28.19	32.07	86.9	NaN	32.07	NaN	27.4	32.07	93.6	26.21	32.07	104.8
21/06/2018 10:46	3612386791	1013	28.21	32.07	86.7	NaN	32.07	NaN	27.45	32.07	93.1	26.21	32.07	104.8
21/06/2018 10:46	3612386792	1013	28.19	32.08	86.9	NaN	32.08	NaN	27.43	32.08	93.3	26.23	32.08	104.6
21/06/2018 10:46	3612386793	1013	28.23	32.09	86.5	NaN	32.09	NaN	27.43	32.09	93.3	26.23	32.09	104.6
21/06/2018 10:46	3612386794	1013	28.21	32.08	86.7	NaN	32.08	NaN	27.46	32.08	93	26.24	32.08	104.5
21/06/2018 10:46	3612386795	1013	28.22	32.08	86.6	NaN	32.08	NaN	27.42	32.08	93.4	26.23	32.08	104.6
21/06/2018 10:46	3612386796	1013	28.2	32.08	86.8	NaN	32.08	NaN	27.43	32.08	93.3	26.22	32.08	104.7
21/06/2018 10:46	3612386797	1013	28.21	32.07	86.7	NaN	32.07	NaN	27.45	32.07	93.1	26.24	32.07	104.5
21/06/2018 10:46	3612386798	1013	28.23	32.06	86.6	NaN	32.06	NaN	27.43	32.06	93.3	26.24	32.06	104.5
21/06/2018 10:46	3612386799	1013	28.22	32.06	86.7	NaN	32.06	NaN	27.42	32.06	93.4	26.23	32.06	104.6
21/06/2018 10:46	3612386800	1013	28.24	32.06	86.5	NaN	32.06	NaN	27.41	32.06	93.5	26.25	32.06	104.4
21/06/2018 10:46	3612386801	1013	28.25	32.07	86.4	NaN	32.07	NaN	27.47	32.07	92.9	26.23	32.07	104.6
