Date & time of file creation	28/06/2018 1:26 PM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\28_06_2018\29_C_old_witrox_16.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
S WOT 0041 000001   , CH 1	1	59.31	26.73	0.00	100.00	32.32	32.30	0.000						
S WOT 0041 000001   , CH 2	1	59.31	26.73	0.00	100.00	32.32	32.30	0.000						
S WOT 0041 000001   , CH 3	1	59.31	26.73	0.00	100.00	32.32	32.30	0.000						
S WOT 0041 000001   , CH 4	1	59.31	26.73	0.00	100.00	32.32	32.30	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	S WOT 0041 000001   , CH 1 phase [r.U.]	S WOT 0041 000001   , CH 1 temp [°C]	S WOT 0041 000001   , CH 1 O2 [% air saturation]	S WOT 0041 000001   , CH 2 phase [r.U.]	S WOT 0041 000001   , CH 2 temp [°C]	S WOT 0041 000001   , CH 2 O2 [% air saturation]	S WOT 0041 000001   , CH 3 phase [r.U.]	S WOT 0041 000001   , CH 3 temp [°C]	S WOT 0041 000001   , CH 3 O2 [% air saturation]	S WOT 0041 000001   , CH 4 phase [r.U.]	S WOT 0041 000001   , CH 4 temp [°C]	S WOT 0041 000001   , CH 4 O2 [% air saturation]
28/06/2018 1:27:07 PM	3613001227	1013.00	26.78	29.16	105.1	26.82	29.16	104.7	26.60	29.16	106.9	26.62	29.16	106.7
28/06/2018 1:27:08 PM	3613001228	1013.00	26.77	29.16	105.2	26.86	29.16	104.3	26.61	29.16	106.8	26.64	29.16	106.5
28/06/2018 1:27:09 PM	3613001229	1013.00	26.81	29.16	104.8	26.86	29.16	104.3	26.59	29.16	107.0	26.62	29.16	106.7
28/06/2018 1:27:10 PM	3613001230	1013.00	26.77	29.16	105.2	26.81	29.16	104.8	26.63	29.16	106.6	26.63	29.16	106.6
28/06/2018 1:27:11 PM	3613001231	1013.00	26.81	29.17	104.7	26.85	29.17	104.3	26.63	29.17	106.6	26.64	29.17	106.5
28/06/2018 1:27:12 PM	3613001232	1013.00	26.79	29.16	105.0	26.81	29.16	104.8	26.61	29.16	106.8	26.64	29.16	106.5
28/06/2018 1:27:13 PM	3613001233	1013.00	26.80	29.16	104.9	26.81	29.16	104.8	26.59	29.16	107.0	26.64	29.16	106.5
28/06/2018 1:27:14 PM	3613001234	1013.00	26.79	29.15	105.0	26.84	29.15	104.5	26.61	29.15	106.8	26.60	29.15	106.9
28/06/2018 1:27:15 PM	3613001235	1013.00	26.80	29.15	104.9	26.82	29.15	104.7	26.58	29.15	107.1	26.62	29.15	106.7
28/06/2018 1:27:16 PM	3613001236	1013.00	26.83	29.15	104.6	26.80	29.15	104.9	26.64	29.15	106.5	26.66	29.15	106.3
28/06/2018 1:27:17 PM	3613001237	1013.00	26.82	29.15	104.7	26.81	29.15	104.8	26.58	29.15	107.1	26.61	29.15	106.8
28/06/2018 1:27:18 PM	3613001238	1013.00	26.80	29.16	104.9	26.79	29.16	105.0	26.63	29.16	106.6	26.63	29.16	106.6
28/06/2018 1:27:19 PM	3613001239	1013.00	26.82	29.16	104.7	26.82	29.16	104.7	26.62	29.16	106.7	26.64	29.16	106.5
28/06/2018 1:27:20 PM	3613001240	1013.00	26.80	29.15	104.9	26.81	29.15	104.8	26.66	29.15	106.3	26.64	29.15	106.5
28/06/2018 1:27:21 PM	3613001241	1013.00	26.82	29.14	104.7	26.74	29.14	105.5	26.59	29.14	107.0	26.65	29.14	106.4
28/06/2018 1:27:22 PM	3613001242	1013.00	26.80	29.14	104.9	26.80	29.14	104.9	26.63	29.14	106.6	26.63	29.14	106.6
28/06/2018 1:27:23 PM	3613001243	1013.00	26.81	29.13	104.8	26.83	29.13	104.6	26.62	29.13	106.7	26.61	29.13	106.8
28/06/2018 1:27:24 PM	3613001244	1013.00	26.84	29.13	104.5	26.83	29.13	104.6	26.63	29.13	106.6	26.63	29.13	106.6
28/06/2018 1:27:25 PM	3613001245	1013.00	26.82	29.13	104.7	26.85	29.13	104.4	26.60	29.13	106.9	26.63	29.13	106.6
