Date & time of file creation	11/07/2018 1:35 PM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\2018_07_11\32_C_new_witrox_22.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.63	27.03	0.00	100.00	25.99	25.93	0.000						
SDWD0003000199      , CH 2	1	59.63	27.03	0.00	100.00	25.99	25.93	0.000						
SDWD0003000199      , CH 3	1	59.63	27.03	0.00	100.00	25.99	25.93	0.000						
SDWD0003000199      , CH 4	1	59.63	27.03	0.00	100.00	25.99	25.93	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
11/07/2018 1:36:17 PM	3614124977	1013.00	25.68	32.08	102.8	25.82	32.08	101.4	25.72	32.08	102.4	25.71	32.08	102.5
11/07/2018 1:36:18 PM	3614124978	1013.00	25.66	32.07	103.0	25.88	32.07	100.8	25.70	32.07	102.6	25.68	32.07	102.8
11/07/2018 1:36:19 PM	3614124979	1013.00	25.67	32.07	102.9	25.86	32.07	101.0	25.70	32.07	102.6	25.71	32.07	102.5
11/07/2018 1:36:20 PM	3614124980	1013.00	25.69	32.07	102.7	25.87	32.07	100.9	25.71	32.07	102.5	25.72	32.07	102.4
11/07/2018 1:36:21 PM	3614124981	1013.00	25.72	32.07	102.4	25.83	32.07	101.3	25.70	32.07	102.6	25.71	32.07	102.5
11/07/2018 1:36:22 PM	3614124982	1013.00	25.66	32.07	103.0	25.89	32.07	100.7	25.72	32.07	102.4	25.71	32.07	102.5
11/07/2018 1:36:23 PM	3614124983	1013.00	25.73	32.07	102.3	25.93	32.07	100.3	25.73	32.07	102.3	25.73	32.07	102.3
11/07/2018 1:36:24 PM	3614124984	1013.00	25.70	32.07	102.6	25.89	32.07	100.7	25.71	32.07	102.5	25.72	32.07	102.4
11/07/2018 1:36:25 PM	3614124985	1013.00	25.71	32.07	102.5	25.84	32.07	101.2	25.68	32.07	102.8	25.69	32.07	102.7
11/07/2018 1:36:26 PM	3614124986	1013.00	25.71	32.08	102.5	25.87	32.08	100.9	25.72	32.08	102.4	25.73	32.08	102.3
11/07/2018 1:36:27 PM	3614124987	1013.00	25.66	32.08	103.0	25.87	32.08	100.9	25.69	32.08	102.7	25.71	32.08	102.5
