Date & time of file creation	31/05/2018 2:08 PM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\31_05_2018\29_C_new_witrox_5.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.11	25.92	0.00	100.00	32.31	32.03	0.000						
SDWD0003000199      , CH 2	1	59.11	25.92	0.00	100.00	32.31	32.03	0.000						
SDWD0003000199      , CH 3	1	59.11	25.92	0.00	100.00	32.31	32.03	0.000						
SDWD0003000199      , CH 4	1	59.11	25.92	0.00	100.00	32.31	32.03	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
31/05/2018 2:09:40 PM	3610584580	1013.00	26.95	28.97	95.3	27.33	28.97	91.9	26.89	28.97	95.8	26.64	28.97	98.1
31/05/2018 2:09:41 PM	3610584581	1013.00	26.94	28.97	95.4	27.34	28.97	91.8	26.86	28.97	96.1	26.61	28.97	98.4
31/05/2018 2:09:42 PM	3610584582	1013.00	26.96	28.97	95.2	27.32	28.97	92.0	26.91	28.97	95.6	26.62	28.97	98.3
31/05/2018 2:09:43 PM	3610584583	1013.00	26.97	28.98	95.1	27.35	28.98	91.7	26.93	28.98	95.4	26.61	28.98	98.4
31/05/2018 2:09:44 PM	3610584584	1013.00	27.00	28.97	94.8	27.35	28.97	91.7	26.87	28.97	96.0	26.64	28.97	98.1
31/05/2018 2:09:45 PM	3610584585	1013.00	26.94	28.97	95.4	27.34	28.97	91.8	26.90	28.97	95.7	26.63	28.97	98.2
31/05/2018 2:09:46 PM	3610584586	1013.00	26.97	28.97	95.1	27.33	28.97	91.9	26.88	28.97	95.9	26.63	28.97	98.2
31/05/2018 2:09:47 PM	3610584587	1013.00	26.95	28.97	95.3	27.38	28.97	91.5	26.93	28.97	95.4	26.66	28.97	97.9
31/05/2018 2:09:48 PM	3610584588	1013.00	26.91	28.97	95.6	27.34	28.97	91.8	26.89	28.97	95.8	26.64	28.97	98.1
31/05/2018 2:09:49 PM	3610584589	1013.00	26.94	28.97	95.4	27.35	28.97	91.7	26.88	28.97	95.9	26.67	28.97	97.8
31/05/2018 2:09:50 PM	3610584590	1013.00	26.92	28.97	95.5	27.33	28.97	91.9	26.86	28.97	96.1	26.55	28.97	99.0
31/05/2018 2:09:51 PM	3610584591	1013.00	26.97	28.97	95.1	27.32	28.97	92.0	26.89	28.97	95.8	26.61	28.97	98.4
31/05/2018 2:09:52 PM	3610584592	1013.00	26.95	28.97	95.3	27.35	28.97	91.7	26.88	28.97	95.9	26.60	28.97	98.5
31/05/2018 2:09:53 PM	3610584593	1013.00	27.06	28.97	94.3	27.37	28.97	91.5	26.87	28.97	96.0	26.66	28.97	97.9
31/05/2018 2:09:54 PM	3610584594	1013.00	26.97	28.97	95.1	27.35	28.97	91.7	26.88	28.97	95.9	26.63	28.97	98.2
31/05/2018 2:09:55 PM	3610584595	1013.00	26.95	28.97	95.3	27.33	28.97	91.9	26.90	28.97	95.7	26.66	28.97	97.9
31/05/2018 2:09:56 PM	3610584596	1013.00	27.02	28.97	94.6	27.36	28.97	91.6	26.89	28.97	95.8	26.63	28.97	98.2
31/05/2018 2:09:57 PM	3610584597	1013.00	26.95	28.98	95.2	27.36	28.98	91.6	26.88	28.98	95.9	26.61	28.98	98.4
31/05/2018 2:09:58 PM	3610584598	1013.00	26.97	28.98	95.1	27.34	28.98	91.8	26.86	28.98	96.1	26.66	28.98	97.9
31/05/2018 2:09:59 PM	3610584599	1013.00	26.96	28.98	95.2	27.34	28.98	91.8	26.89	28.98	95.8	26.60	28.98	98.5
31/05/2018 2:10:00 PM	3610584600	1013.00	26.98	28.98	95.0	27.34	28.98	91.8	26.91	28.98	95.6	26.65	28.98	98.0
31/05/2018 2:10:01 PM	3610584601	1013.00	26.97	28.97	95.1	27.37	28.97	91.5	26.88	28.97	95.9	26.64	28.97	98.1
31/05/2018 2:10:02 PM	3610584602	1013.00	27.00	28.97	94.8	27.33	28.97	91.9	26.88	28.97	95.9	26.63	28.97	98.2
31/05/2018 2:10:03 PM	3610584603	1013.00	27.00	28.97	94.8	27.35	28.97	91.7	26.87	28.97	96.0	26.66	28.97	97.9
31/05/2018 2:10:04 PM	3610584604	1013.00	26.99	28.97	94.9	27.34	28.97	91.8	26.86	28.97	96.1	26.62	28.97	98.3
31/05/2018 2:10:05 PM	3610584605	1013.00	26.98	28.97	95.0	27.36	28.97	91.6	26.89	28.97	95.8	26.59	28.97	98.6
31/05/2018 2:10:06 PM	3610584606	1013.00	26.98	28.97	95.0	27.32	28.97	92.0	26.88	28.97	95.9	26.67	28.97	97.8
31/05/2018 2:10:07 PM	3610584607	1013.00	26.88	28.98	95.9	27.36	28.98	91.6	26.89	28.98	95.8	26.65	28.98	98.0
31/05/2018 2:10:08 PM	3610584608	1013.00	27.01	28.98	94.7	27.33	28.98	91.9	26.87	28.98	96.0	26.66	28.98	97.9
31/05/2018 2:10:09 PM	3610584609	1013.00	26.98	28.98	95.0	27.36	28.98	91.6	26.87	28.98	96.0	26.65	28.98	98.0
31/05/2018 2:10:10 PM	3610584610	1013.00	26.97	28.97	95.1	27.37	28.97	91.5	26.89	28.97	95.8	26.64	28.97	98.1
31/05/2018 2:10:11 PM	3610584611	1013.00	26.96	28.98	95.2	27.36	28.98	91.6	26.90	28.98	95.7	26.65	28.98	98.0
31/05/2018 2:10:12 PM	3610584612	1013.00	26.98	28.98	95.0	27.34	28.98	91.8	26.88	28.98	95.9	26.62	28.98	98.3
31/05/2018 2:10:13 PM	3610584613	1013.00	27.01	28.98	94.7	27.39	28.98	91.4	26.88	28.98	95.9	26.61	28.98	98.4
31/05/2018 2:10:14 PM	3610584614	1013.00	26.97	28.97	95.1	27.38	28.97	91.5	26.89	28.97	95.8	26.65	28.97	98.0
31/05/2018 2:10:15 PM	3610584615	1013.00	27.02	28.97	94.6	27.37	28.97	91.5	26.88	28.97	95.9	26.65	28.97	98.0
31/05/2018 2:10:16 PM	3610584616	1013.00	26.97	28.97	95.1	27.38	28.97	91.5	26.89	28.97	95.8	26.63	28.97	98.2
31/05/2018 2:10:17 PM	3610584617	1013.00	27.05	28.97	94.4	27.37	28.97	91.5	26.91	28.97	95.6	26.69	28.97	97.7
31/05/2018 2:10:18 PM	3610584618	1013.00	27.02	28.97	94.6	27.34	28.97	91.8	26.87	28.97	96.0	26.63	28.97	98.2
31/05/2018 2:10:19 PM	3610584619	1013.00	26.95	28.97	95.3	27.33	28.97	91.9	26.90	28.97	95.7	26.68	28.97	97.7
31/05/2018 2:10:20 PM	3610584620	1013.00	26.98	28.97	95.0	27.37	28.97	91.5	26.88	28.97	95.9	26.67	28.97	97.8
31/05/2018 2:10:21 PM	3610584621	1013.00	26.95	28.97	95.3	27.35	28.97	91.7	26.89	28.97	95.8	26.59	28.97	98.6
31/05/2018 2:10:22 PM	3610584622	1013.00	27.02	28.97	94.6	27.38	28.97	91.5	26.89	28.97	95.8	26.68	28.97	97.7
31/05/2018 2:10:23 PM	3610584623	1013.00	27.00	28.98	94.8	27.37	28.98	91.5	26.90	28.98	95.7	26.61	28.98	98.4
31/05/2018 2:10:24 PM	3610584624	1013.00	27.02	28.97	94.6	27.36	28.97	91.6	26.88	28.97	95.9	26.67	28.97	97.8
31/05/2018 2:10:25 PM	3610584625	1013.00	27.00	28.97	94.8	27.39	28.97	91.4	26.91	28.97	95.6	26.67	28.97	97.8
31/05/2018 2:10:26 PM	3610584626	1013.00	27.02	28.97	94.6	27.38	28.97	91.5	26.88	28.97	95.9	26.66	28.97	97.9
31/05/2018 2:10:27 PM	3610584627	1013.00	26.97	28.98	95.1	27.36	28.98	91.6	26.86	28.98	96.1	26.63	28.98	98.2
31/05/2018 2:10:28 PM	3610584628	1013.00	27.04	28.98	94.4	27.40	28.98	91.3	26.86	28.98	96.1	26.68	28.98	97.7
31/05/2018 2:10:29 PM	3610584629	1013.00	27.02	28.98	94.6	27.38	28.98	91.4	26.88	28.98	95.9	26.70	28.98	97.5
31/05/2018 2:10:30 PM	3610584630	1013.00	27.03	28.98	94.5	27.37	28.98	91.5	26.87	28.98	96.0	26.65	28.98	98.0
31/05/2018 2:10:31 PM	3610584631	1013.00	27.04	28.98	94.4	27.36	28.98	91.6	26.88	28.98	95.9	26.63	28.98	98.2
31/05/2018 2:10:32 PM	3610584632	1013.00	27.04	28.98	94.4	27.37	28.98	91.5	26.89	28.98	95.8	26.65	28.98	98.0
31/05/2018 2:10:33 PM	3610584633	1013.00	27.02	28.98	94.6	27.39	28.98	91.4	26.88	28.98	95.9	26.67	28.98	97.8
31/05/2018 2:10:34 PM	3610584634	1013.00	27.07	28.98	94.2	27.40	28.98	91.3	26.89	28.98	95.8	26.67	28.98	97.8
31/05/2018 2:10:35 PM	3610584635	1013.00	27.04	28.98	94.4	27.41	28.98	91.2	26.89	28.98	95.8	26.66	28.98	97.9
31/05/2018 2:10:36 PM	3610584636	1013.00	27.03	28.97	94.5	27.39	28.97	91.4	26.91	28.97	95.6	26.68	28.97	97.7
31/05/2018 2:10:37 PM	3610584637	1013.00	26.98	28.98	95.0	27.38	28.98	91.4	26.90	28.98	95.7	26.69	28.98	97.6
31/05/2018 2:10:38 PM	3610584638	1013.00	27.03	28.98	94.5	27.40	28.98	91.3	26.88	28.98	95.9	26.61	28.98	98.4
31/05/2018 2:10:39 PM	3610584639	1013.00	27.00	28.98	94.8	27.39	28.98	91.4	26.92	28.98	95.5	26.63	28.98	98.2
31/05/2018 2:10:40 PM	3610584640	1013.00	26.95	28.97	95.3	27.42	28.97	91.1	26.90	28.97	95.7	26.72	28.97	97.4
31/05/2018 2:10:41 PM	3610584641	1013.00	27.07	28.97	94.2	27.40	28.97	91.3	26.87	28.97	96.0	26.70	28.97	97.6
31/05/2018 2:10:42 PM	3610584642	1013.00	27.05	28.97	94.4	27.44	28.97	90.9	26.87	28.97	96.0	26.68	28.97	97.7
31/05/2018 2:10:43 PM	3610584643	1013.00	26.99	28.97	94.9	27.38	28.97	91.5	26.91	28.97	95.6	26.70	28.97	97.6
