Date & time of file creation	4/07/2018 1:18 PM													
Data file path	C:\Users\ameli\Desktop\Diego Barneche\04_07_2018\26_C_new_witrox_21.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000199      , CH 1	1	59.46	26.95	0.00	100.00	26.00	26.08	0.000						
SDWD0003000199      , CH 2	1	59.46	26.95	0.00	100.00	26.00	26.08	0.000						
SDWD0003000199      , CH 3	1	59.46	26.95	0.00	100.00	26.00	26.08	0.000						
SDWD0003000199      , CH 4	1	59.46	26.95	0.00	100.00	26.00	26.08	0.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000199      , CH 1 phase [r.U.]	SDWD0003000199      , CH 1 temp [°C]	SDWD0003000199      , CH 1 O2 [% air saturation]	SDWD0003000199      , CH 2 phase [r.U.]	SDWD0003000199      , CH 2 temp [°C]	SDWD0003000199      , CH 2 O2 [% air saturation]	SDWD0003000199      , CH 3 phase [r.U.]	SDWD0003000199      , CH 3 temp [°C]	SDWD0003000199      , CH 3 O2 [% air saturation]	SDWD0003000199      , CH 4 phase [r.U.]	SDWD0003000199      , CH 4 temp [°C]	SDWD0003000199      , CH 4 O2 [% air saturation]
4/07/2018 1:19:36 PM	3613519176	1013.00	27.71	26.20	92.9	27.58	26.20	94.0	27.22	26.20	97.3	27.07	26.20	98.7
4/07/2018 1:19:37 PM	3613519177	1013.00	27.73	26.20	92.7	27.60	26.20	93.8	27.25	26.20	97.0	27.17	26.20	97.7
4/07/2018 1:19:38 PM	3613519178	1013.00	27.71	26.20	92.9	27.63	26.20	93.6	27.20	26.20	97.5	27.08	26.20	98.6
4/07/2018 1:19:39 PM	3613519179	1013.00	27.71	26.19	92.9	27.60	26.19	93.9	27.23	26.19	97.2	27.11	26.19	98.3
4/07/2018 1:19:40 PM	3613519180	1013.00	27.68	26.20	93.1	27.61	26.20	93.8	27.23	26.20	97.2	27.18	26.20	97.6
4/07/2018 1:19:41 PM	3613519181	1013.00	27.71	26.20	92.9	27.65	26.20	93.4	27.21	26.20	97.4	27.11	26.20	98.3
4/07/2018 1:19:42 PM	3613519182	1013.00	27.66	26.20	93.3	27.60	26.20	93.8	27.22	26.20	97.3	27.10	26.20	98.4
4/07/2018 1:19:43 PM	3613519183	1013.00	27.68	26.20	93.1	27.65	26.20	93.4	27.28	26.20	96.7	27.13	26.20	98.1
4/07/2018 1:19:44 PM	3613519184	1013.00	27.66	26.20	93.3	27.57	26.20	94.1	27.29	26.20	96.6	27.11	26.20	98.3
4/07/2018 1:19:45 PM	3613519185	1013.00	27.67	26.20	93.2	27.63	26.20	93.6	27.23	26.20	97.2	27.23	26.20	97.2
4/07/2018 1:19:46 PM	3613519186	1013.00	27.69	26.20	93.1	27.53	26.20	94.5	27.27	26.20	96.8	27.10	26.20	98.4
4/07/2018 1:19:47 PM	3613519187	1013.00	27.70	26.20	93.0	27.62	26.20	93.7	27.24	26.20	97.1	27.20	26.20	97.5
4/07/2018 1:19:48 PM	3613519188	1013.00	27.75	26.20	92.5	27.60	26.20	93.8	27.23	26.20	97.2	27.12	26.20	98.2
4/07/2018 1:19:49 PM	3613519189	1013.00	27.69	26.20	93.1	27.55	26.20	94.3	27.23	26.20	97.2	27.11	26.20	98.3
4/07/2018 1:19:50 PM	3613519190	1013.00	27.71	26.20	92.9	27.58	26.20	94.0	27.22	26.20	97.3	27.11	26.20	98.3
4/07/2018 1:19:51 PM	3613519191	1013.00	27.69	26.20	93.1	27.57	26.20	94.1	27.25	26.20	97.0	27.12	26.20	98.2
4/07/2018 1:19:52 PM	3613519192	1013.00	27.70	26.20	93.0	27.53	26.20	94.5	27.25	26.20	97.0	27.15	26.20	97.9
4/07/2018 1:19:53 PM	3613519193	1013.00	27.68	26.20	93.1	27.59	26.20	93.9	27.22	26.20	97.3	27.15	26.20	97.9
4/07/2018 1:19:54 PM	3613519194	1013.00	27.73	26.20	92.7	27.56	26.20	94.2	27.26	26.20	96.9	27.12	26.20	98.2
4/07/2018 1:19:55 PM	3613519195	1013.00	27.70	26.20	93.0	27.57	26.20	94.1	27.26	26.20	96.9	27.10	26.20	98.4
4/07/2018 1:19:56 PM	3613519196	1013.00	27.71	26.20	92.9	27.59	26.20	93.9	27.25	26.20	97.0	27.13	26.20	98.1
4/07/2018 1:19:57 PM	3613519197	1013.00	27.74	26.20	92.6	27.61	26.20	93.8	27.20	26.20	97.5	27.15	26.20	97.9
4/07/2018 1:19:58 PM	3613519198	1013.00	27.71	26.20	92.9	27.62	26.20	93.7	27.25	26.20	97.0	27.13	26.20	98.1
4/07/2018 1:19:59 PM	3613519199	1013.00	27.68	26.21	93.1	27.59	26.21	93.9	27.27	26.21	96.8	27.15	26.21	97.9
4/07/2018 1:20:00 PM	3613519200	1013.00	27.69	26.20	93.1	27.59	26.20	93.9	27.24	26.20	97.1	27.17	26.20	97.7
4/07/2018 1:20:01 PM	3613519201	1013.00	27.66	26.20	93.3	27.56	26.20	94.2	27.24	26.20	97.1	27.14	26.20	98.0
4/07/2018 1:20:02 PM	3613519202	1013.00	27.68	26.20	93.1	27.57	26.20	94.1	27.25	26.20	97.0	27.18	26.20	97.6
4/07/2018 1:20:03 PM	3613519203	1013.00	27.70	26.20	93.0	27.59	26.20	93.9	27.26	26.20	96.9	27.10	26.20	98.4
4/07/2018 1:20:04 PM	3613519204	1013.00	27.75	26.20	92.5	27.61	26.20	93.8	27.22	26.20	97.3	27.20	26.20	97.5
4/07/2018 1:20:05 PM	3613519205	1013.00	27.74	26.20	92.6	27.66	26.20	93.3	27.25	26.20	97.0	27.11	26.20	98.3
4/07/2018 1:20:06 PM	3613519206	1013.00	27.73	26.20	92.7	27.62	26.20	93.7	27.23	26.20	97.2	27.18	26.20	97.6
4/07/2018 1:20:07 PM	3613519207	1013.00	27.70	26.20	93.0	27.66	26.20	93.3	27.27	26.20	96.8	27.16	26.20	97.8
4/07/2018 1:20:08 PM	3613519208	1013.00	27.72	26.20	92.8	27.66	26.20	93.3	27.24	26.20	97.1	27.24	26.20	97.1
4/07/2018 1:20:09 PM	3613519209	1013.00	27.67	26.20	93.2	27.63	26.20	93.6	27.24	26.20	97.1	27.21	26.20	97.4
4/07/2018 1:20:10 PM	3613519210	1013.00	27.68	26.20	93.1	27.68	26.20	93.1	27.22	26.20	97.3	27.29	26.20	96.6
4/07/2018 1:20:11 PM	3613519211	1013.00	27.68	26.20	93.1	27.63	26.20	93.6	27.26	26.20	96.9	27.26	26.20	96.9
4/07/2018 1:20:12 PM	3613519212	1013.00	27.71	26.20	92.9	27.62	26.20	93.7	27.23	26.20	97.2	27.28	26.20	96.7
4/07/2018 1:20:13 PM	3613519213	1013.00	27.72	26.20	92.8	27.65	26.20	93.4	27.30	26.20	96.5	27.29	26.20	96.6
4/07/2018 1:20:14 PM	3613519214	1013.00	27.69	26.20	93.1	27.65	26.20	93.4	27.24	26.20	97.1	27.33	26.20	96.3
4/07/2018 1:20:15 PM	3613519215	1013.00	27.66	26.20	93.3	27.64	26.20	93.5	27.28	26.20	96.7	27.31	26.20	96.4
4/07/2018 1:20:16 PM	3613519216	1013.00	27.73	26.20	92.7	27.61	26.20	93.8	27.24	26.20	97.1	27.36	26.20	96.0
4/07/2018 1:20:17 PM	3613519217	1013.00	27.69	26.20	93.1	27.68	26.20	93.1	27.27	26.20	96.8	27.37	26.20	95.9
4/07/2018 1:20:18 PM	3613519218	1013.00	27.71	26.20	92.9	27.63	26.20	93.6	27.26	26.20	96.9	27.32	26.20	96.4
4/07/2018 1:20:19 PM	3613519219	1013.00	27.70	26.20	93.0	27.66	26.20	93.3	27.23	26.20	97.2	27.45	26.20	95.2
4/07/2018 1:20:20 PM	3613519220	1013.00	27.69	26.20	93.1	27.67	26.20	93.2	27.25	26.20	97.0	27.43	26.20	95.4
4/07/2018 1:20:21 PM	3613519221	1013.00	27.69	26.20	93.1	27.65	26.20	93.4	27.27	26.20	96.8	27.50	26.20	94.7
4/07/2018 1:20:22 PM	3613519222	1013.00	27.71	26.21	92.9	27.59	26.21	93.9	27.26	26.21	96.9	27.52	26.21	94.5
4/07/2018 1:20:23 PM	3613519223	1013.00	27.68	26.20	93.1	27.70	26.20	93.0	27.22	26.20	97.3	27.54	26.20	94.4
4/07/2018 1:20:24 PM	3613519224	1013.00	27.69	26.20	93.1	27.65	26.20	93.4	27.23	26.20	97.2	27.56	26.20	94.2
4/07/2018 1:20:25 PM	3613519225	1013.00	27.75	26.20	92.5	27.66	26.20	93.3	27.27	26.20	96.8	27.65	26.20	93.4
4/07/2018 1:20:26 PM	3613519226	1013.00	27.72	26.20	92.8	27.67	26.20	93.2	27.28	26.20	96.7	27.59	26.20	93.9
4/07/2018 1:20:27 PM	3613519227	1013.00	27.74	26.20	92.6	27.64	26.20	93.5	27.22	26.20	97.3	27.63	26.20	93.6
4/07/2018 1:20:28 PM	3613519228	1013.00	27.71	26.20	92.9	27.65	26.20	93.4	27.24	26.20	97.1	27.66	26.20	93.3
4/07/2018 1:20:29 PM	3613519229	1013.00	27.79	26.20	92.2	27.69	26.20	93.1	27.29	26.20	96.6	27.73	26.20	92.7
4/07/2018 1:20:30 PM	3613519230	1013.00	27.74	26.20	92.6	27.70	26.20	93.0	27.23	26.20	97.2	27.70	26.20	93.0
4/07/2018 1:20:31 PM	3613519231	1013.00	27.72	26.20	92.8	27.70	26.20	93.0	27.23	26.20	97.2	27.75	26.20	92.5
4/07/2018 1:20:32 PM	3613519232	1013.00	27.75	26.20	92.5	27.71	26.20	92.9	27.24	26.20	97.1	27.81	26.20	92.0
4/07/2018 1:20:33 PM	3613519233	1013.00	27.77	26.21	92.4	27.73	26.21	92.7	27.28	26.21	96.7	27.81	26.21	92.0
4/07/2018 1:20:34 PM	3613519234	1013.00	27.74	26.21	92.6	27.73	26.21	92.7	27.26	26.21	96.9	27.81	26.21	92.0
4/07/2018 1:20:35 PM	3613519235	1013.00	27.77	26.21	92.4	27.72	26.21	92.8	27.25	26.21	97.0	27.85	26.21	91.7
4/07/2018 1:20:36 PM	3613519236	1013.00	27.76	26.21	92.4	27.72	26.21	92.8	27.22	26.21	97.3	27.90	26.21	91.2
4/07/2018 1:20:37 PM	3613519237	1013.00	27.76	26.20	92.5	27.70	26.20	93.0	27.24	26.20	97.1	27.92	26.20	91.1
4/07/2018 1:20:38 PM	3613519238	1013.00	27.74	26.19	92.6	27.71	26.19	92.9	27.33	26.19	96.3	27.95	26.19	90.8
4/07/2018 1:20:39 PM	3613519239	1013.00	27.74	26.19	92.6	27.65	26.19	93.4	27.24	26.19	97.1	27.99	26.19	90.5
4/07/2018 1:20:40 PM	3613519240	1013.00	27.76	26.19	92.5	27.69	26.19	93.1	27.27	26.19	96.8	27.96	26.19	90.8
4/07/2018 1:20:41 PM	3613519241	1013.00	27.77	26.19	92.4	27.76	26.19	92.5	27.24	26.19	97.1	27.99	26.19	90.5
4/07/2018 1:20:42 PM	3613519242	1013.00	27.82	26.19	92.0	27.70	26.19	93.0	27.28	26.19	96.7	28.01	26.19	90.3
4/07/2018 1:20:43 PM	3613519243	1013.00	27.75	26.19	92.6	27.74	26.19	92.6	27.27	26.19	96.8	28.11	26.19	89.5
